Data,Saldo Inicial,Entradas,Saídas,Saldo Final,
01/04/2026,"23.247,89",0,"5.585,00","17.662,89",
02/04/2026,"17.662,89",0,"9.737,05","7.925,84",
03/04/2026,"7.925,84",0,0,"7.925,84",
06/04/2026,"7.336,36","13.779,19",0,"21.115,55",
07/04/2026,"21.115,55","1.234,49",0,"22.350,04",
08/04/2026,"23.636,36",0,0,"23.636,36",
09/04/2026,"23.636,36","3.389,53","2.685,00","24.340,89",
10/04/2026,"24.340,89","594,22","9.450,58","15.484,53",
13/04/2026,"60.103,00",0,,"55.361,00",
14/04/2026,"55.361,00","2.075,12",0,"57.436,12",
15/04/2026,"57.436,12",0,"22.900,21","34.535,91",
16/04/2026,"34.535,91","24.604,47",11,"59.129,38",
17/04/2026,"59.129,38","3.316,78","2.991,73","59.454,43",
20/04/2026,"59.454,43","439,28","24.165,88","35.727,83",
21/04/2026,"35.727,83",0,0,"35.727,83",
22/04/2026,"75.302,10",0,"36.277,00","39.025,10",
23/04/2026,"39.025,10","160,65","120,9","39.064,85",
24/04/2026,"39.064,85","178,64","8.245,16","30.998,33",
27/04/2026,"33.170,36","251.073,69","170.279,59","113.964,46",
28/04/2026,"113.964,46","23.346,54","0,00","137.311,00",
29/04/2026,"149.582,66",0,"0,00","149.582,66",A PARTIR DESSA DATA CONSIDERAR SALDO TOTAL DISPONIVEL
30/04/2026,"149.582,66","10.390,14","144.418,83","15.553,97",
04/05/2026,"15.553,97","14.241,24","5.614,00","24.181,21",
05/05/2026,"24.181,21","0,00","8.062,95","16.118,26",
06/05/2026,"16.118,26","1.234,49","0,00","17.352,75",
07/05/2026,"17.352,75","0,00","0,00","17.352,75",
08/05/2026,"17.352,75","486,46","1.145,00","16.694,21",
11/05/2026,"98.566,99","0,00","128.762,79","-30.195,80",Sem Aporte
12/05/2026,"-30.195,80","0,00","0,00","-30.195,80",
13/05/2026,"-30.195,80","101,12","3.242,00","-33.336,68",
14/05/2026,"-33.336,68","850,50","2.835,00","-35.321,18",
15/05/2026,"-35.321,18","0,00","22.061,80","-57.382,98",
18/05/2026,"-57.382,98","22.609,85","9.532,57","-44.305,70",
19/05/2026,"-44.305,70","0,00","0,00","-44.305,70",
20/05/2026,"-44.305,70","3.720,15","72.916,36","-113.501,91",
21/05/2026,"-113.501,91","33.580,59","6.376,82","-86.298,14",
22/05/2026,"-86.298,14","0,00","37.599,02","-123.897,16",
25/05/2026,"-123.897,16","0,00","26.059,69","-149.956,85",Não considerei SulAmerica Odonto e Vida
26/05/2026,"-149.956,85","135.876,63","178.849,00","-192.929,22",
27/05/2026,"-192.929,22","0,00","0,00","-192.929,22",
28/05/2026,"-192.929,22","0,00","60.691,84","-253.621,06",
29/05/2026,"-253.621,06","641,49","58.974,37","-311.953,94",
01/06/2026,"-311.953,94","23.834,21","0,00","-288.119,73",
