Data,Saldo Inicial,Entradas,Saídas,Saldo Final,Observações
01/04/2026,"23.247,89",0,"5.585,00","17.662,89",
02/04/2026,"17.662,89",0,"9.737,05","7.925,84",
03/04/2026,"7.925,84",0,0,"7.925,84",
06/04/2026,"7.336,36","13.779,19",0,"21.115,55",
07/04/2026,"21.115,55","1.234,49",0,"22.350,04",
08/04/2026,"23.636,36",0,0,"23.636,36",
09/04/2026,"23.636,36","3.389,53","2.685,00","24.340,89",
10/04/2026,"24.340,89","594,22","9.450,58","15.484,53",
13/04/2026,"60.103,00",0,,"55.361,00",
14/04/2026,"55.361,00","2.075,12",0,"57.436,12",
15/04/2026,"57.436,12",0,"22.900,21","34.535,91",
16/04/2026,"34.535,91","24.604,47",11,"59.129,38",
17/04/2026,"59.129,38","3.316,78","2.991,73","59.454,43",
20/04/2026,"59.454,43","439,28","24.165,88","35.727,83",
21/04/2026,"35.727,83",0,0,"35.727,83",
22/04/2026,"75.302,10",0,"36.277,00","39.025,10",
23/04/2026,"39.025,10","160,65","120,9","39.064,85",
24/04/2026,"39.064,85","178,64","8.245,16","30.998,33",
27/04/2026,"33.170,36","251.073,69","170.279,59","113.964,46",
28/04/2026,"113.964,46","23.346,54","0,00","137.311,00",
29/04/2026,"149.582,66",0,"0,00","149.582,66",
30/04/2026,"149.582,66","10.390,14","144.418,83","15.553,97",
04/05/2026,"15.553,97","14.241,24","5.614,00","24.181,21",
05/05/2026,"24.181,21","0,00","8.062,95","16.118,26",
06/05/2026,"16.118,26","1.234,49","0,00","17.352,75",
07/05/2026,"17.352,75","0,00","0,00","17.352,75",
08/05/2026,"17.352,75","486,46","1.145,00","16.694,21",
11/05/2026,"98.566,99","0,00","5.462,22","93.104,77",Não pagar Vero e SoftOne
12/05/2026,"93.104,77","0,00","0,00","93.104,77",
13/05/2026,"93.104,77","101,12","3.242,00","89.963,89",
14/05/2026,"89.963,89","850,50","2.835,00","87.979,39",
15/05/2026,"99.134,31","0,00","22.061,80","77.072,51",ADT Confirmado
18/05/2026,"77.072,51","22.609,85","9.532,57","90.149,79",
19/05/2026,"90.149,79","6.392,40","0,00","96.542,19",Entrada - Atlantica atrasado
20/05/2026,"106.938,09","3.567,86","72.916,36","37.589,59",SAMM prorrogado
21/05/2026,"37.589,59","24.058,20","0,00","61.647,79",Não Pagar ISS Parcelado
22/05/2026,"61.647,79","13.200,00","2.826,90","72.020,89",Directcall prorrogado para 29/05
25/05/2026,"72.020,89","0,00","26.059,69","45.961,20",
26/05/2026,"45.961,20","135.523,87","91.050,25","90.434,82",Não Pagar: Vero / Daniel  
27/05/2026,"90.434,82","0,00","200,00","90.234,82",Coffee Reunão Mensal
28/05/2026,"90.234,82","0,00","264,00","89.970,82",Não Pagar: SAMM
29/05/2026,"89.970,82","389,83","56.380,91","33.979,74",Não Pagar: Acordo Algar / Impostos Parcelados
01/06/2026,"33.979,74","22.621,12","5.614,00","50.986,86",SEGUINDO FATURAMENTO DE MAIO/2026
02/06/2026,"50.986,86","1.213,09","0,00","52.199,95",
03/06/2026,"52.199,95","0,00","0,00","52.199,95",
04/06/2026,"52.199,95","0,00","0,00","52.199,95",
05/06/2026,"52.199,95","0,00","13.108,78","39.091,17",
08/06/2026,"39.091,17","937,25","1.345,00","38.683,42",
09/06/2026,"38.683,42","5.969,55","11.924,12","32.728,85",
10/06/2026,"32.728,85","0,00","6.588,40","26.140,45",
11/06/2026,"26.140,45","42.157,13","0,00","68.297,58",
12/06/2026,"68.297,58","1.123,50","3.264,68","66.156,40",
15/06/2026,"66.156,40","101,12","24.846,90","41.410,62",
16/06/2026,"41.410,62","24.105,08","11,00","65.504,70",
17/06/2026,"65.504,70","3.316,78","10.758,90","58.062,58",
18/06/2026,"58.062,58","439,28","0,00","58.501,86",
19/06/2026,"58.501,86","178,67","12.100,05","46.580,48",
22/06/2026,"46.580,48","0,00","36.397,90","10.182,58",
23/06/2026,"10.182,58","34.210,86","0,00","44.393,44",
24/06/2026,"44.393,44","178,64","405,16","44.166,92",
25/06/2026,"44.166,92","753,33","30.100,00","14.820,25",
26/06/2026,"14.820,25","135.057,01","130.583,02","19.294,24",Sem Cloudsoftphone
29/06/2026,"19.294,24","0,00","61.003,21","-41.708,97",
30/06/2026,"-41.708,97","14.475,70","18.058,49","-45.291,76",Sem Parclea de Impostos e Acordo Algar
