Data,Descrição,Categoria,Valor,Centro de Custo,Tipo,Status
01/02/2026,Receita Consolidada,Receita,"0,00",Receita,Receber,Realizado
01/02/2026,Tarifa ,Tarifa Bancária,"-23,96",Financeiro,Pagar,Realizado
01/02/2026,Adobe MKT,Licença de Software,"-400,00",Marketing,Pagar,Realizado
01/02/2026,DigitalOcean,Licença de Software,"-152,38",Marketing,Pagar,Realizado
01/02/2026,NVOIP,Licença de Software,"-29,00",Operações,Pagar,Realizado
01/02/2026,GreatAPP,Licença de Software,"-66,40",Marketing,Pagar,Realizado
01/02/2026,DIDWW,Telefonia,"-166,24",Operações,Pagar,Realizado
02/02/2026,Receita Consolidada,Receita,"69,66",Receita,Receber,Realizado
02/02/2026,Tarifa ,Tarifa Bancária,"-9,14",Financeiro,Pagar,Realizado
02/02/2026,Google LLC,Cloud,"-4.084,74",Operações,Pagar,Realizado
02/02/2026,ChatGPT - Alexandre,Licença de Software,"-111,44",Administrativo,Pagar,Realizado
03/02/2026,Receita Consolidada,Receita,"1.842,70",Receita,Receber,Realizado
03/02/2026,Tarifa ,Tarifa Bancária,"-68,58",Financeiro,Pagar,Realizado
03/02/2026,OpenAI ,Licença de Software,"-111,15",Tecnologia,Pagar,Realizado
04/02/2026,Receita Consolidada,Receita,"264,55",Receita,Receber,Realizado
04/02/2026,Tarifa ,Tarifa Bancária,"-2,30",Financeiro,Pagar,Realizado
04/02/2026,SoftOne,Cloud,"-86.516,49",Tecnologia,Pagar,Realizado
04/02/2026,Amil Mobcall,Saúde e Vida,"-395,56",Recursos Humanos,Pagar,Realizado
04/02/2026,Amil Nathalie,Saúde e Vida,"-53,94",Recursos Humanos,Pagar,Realizado
04/02/2026,Amil Alexandre,Saúde e Vida,"-71,92",Recursos Humanos,Pagar,Realizado
04/02/2026,Amil Rafael,Saúde e Vida,"-17,98",Recursos Humanos,Pagar,Realizado
04/02/2026,Twilio,Licença de Software,"-444,36",Tecnologia,Pagar,Realizado
04/02/2026,Siprix,Telefonia,"-6.360,52",Operações,Pagar,Realizado
05/02/2026,Receita Consolidada,Receita,"6.050,14",Receita,Receber,Realizado
